Symbol,Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Underlying Last Price,P/L Open,Cost,β Delta
AAPL  250117C00240000,Equity Option,-1,2025-01-17,25,240,Call,235.00,150.00,-300.00,0.45
AAPL  250117P00220000,Equity Option,-1,2025-01-17,25,220,Put,235.00,80.00,-250.00,0.30
AAPL,Equity,100,,,0,,235.00,500.00,0,100.00
TSLA  250214C00420000,Equity Option,-1,2025-02-14,53,420,Call,395.00,-50.00,-200.00,0.35
TSLA  250214P00360000,Equity Option,-1,2025-02-14,53,360,Put,395.00,100.00,-220.00,0.40
NVDA  250221P01300000,Equity Option,-1,2025-02-21,60,1300,Put,1380.00,250.00,-350.00,0.42
SPY  250103C00610000,Equity Option,1,2025-01-03,11,610,Call,605.00,45.00,120.00,0.60
SPY  250103P00590000,Equity Option,1,2025-01-03,11,590,Put,605.00,30.00,100.00,0.35
SPY,Equity,100,,,0,,605.00,1200.00,0,100.00
GLD  250131P00265000,Equity Option,-1,2025-01-31,39,265,Put,268.00,50.00,-120.00,0.25
QQQ  250124P00510000,Equity Option,1,2025-01-24,32,510,Put,525.00,75.00,450.00,-8.00
QQQ  250124P00490000,Equity Option,-1,2025-01-24,32,490,Put,525.00,-20.00,-200.00,-4.00
AAPL  250207P00225000,Equity Option,1,2025-02-07,46,225,Put,235.00,120.00,350.00,-15.00
IWM  250228P00235000,Equity Option,1,2025-02-28,67,235,Put,242.00,200.00,600.00,-12.00
DIA  250221P00440000,Equity Option,1,2025-02-21,60,440,Put,448.00,150.00,500.00,-10.00
/ES,Futures,1,2025-03-21,88,0,,5850.00,2500.00,-5000.00,50.00
/GC,Futures,1,2025-02-27,66,0,,2650.00,1200.00,-3000.00,8.00
/CL,Futures,1,2025-01-21,29,0,,72.50,-450.00,1500.00,10.00
