Symbol,Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Underlying Last Price,P/L Open,Cost,beta_delta,Theta,Gamma,beta_gamma,Vega,Bid,Ask,Mark,Open Date
SPY,Option,-10,2025-12-21,0,680,Call,680.50,500,-1000,-50,-10,0.01,0.01,-5,1.0,1.1,1.05,2025-11-01
ETH-USD,Option,1,2026-01-17,27,2500,Put,2950,2200,-1500,15,5,0.005,0.005,10,22.0,22.5,22.25,2025-12-18
LMND,Stock,100,,,,,,3000,5000,85,,,,,,,2025-12-10
LMND,Option,-1,2025-12-22,1,80,Call,82.70,40,-500,-45,-2,0.02,0.02,-1,4.5,4.7,4.6,2025-11-15
/ZN,Option,-5,2026-01-24,34,110,Put,112.70,50,-1200,12,-8,0.05,0.05,-15,1.2,1.3,1.25,2025-12-19
BE,Option,-2,2026-01-17,27,85,Put,80.20,-500,-1500,65,-12,0.15,0.15,-20,7.5,8.0,7.75,2025-11-20
ARKG,Option,1,2027-01-15,750,30,Call,29.00,-200,1200,6,0.1,0.001,0.001,5,11.5,12.5,12.0,2024-01-15
COIN,Option,1,2025-12-22,1,245,Call,240.20,-950,1500,12,0.5,0.01,0.01,2,0.1,0.2,0.15,2025-12-10
/6C,Option,-2,2026-01-17,27,0.73,Call,0.728,100,-800,-25,-4,0.02,0.02,-8,0.01,0.012,0.011,2025-12-15
SPY,Option,5,2026-02-20,60,650,Put,680.50,-50,2500,-25,12,0.08,0.08,40,4.5,5.5,5.0,2025-12-01
